gamma,scenario,gcm,slidinglaw,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
meanAnt,ssp245,CESM2-WACCM,J300,0.0,0.016448616330223,0.0368451964663054,0.054362685834079,0.0708220970873887,0.0862643224101008,0.104828249958742,0.1212502736193926,0.134892156618972,0.1553548470341932,0.1725178819183175,0.1869842049170533,0.1995844532865924,0.2089493354535594,0.2178673059671468,0.2311208153680853,0.244897308145757,0.2543303494557498,0.2626685929971812,0.2719554560791863,0.2818455885993069,0.2942900181223259,0.3086386268224327,0.3183904688773047,0.3216449381019062,0.3261894947149212,0.3342793487197342,0.3444543338521488,0.357708612218047,0.3701332165253757,0.3797829805589147,0.389285168667869,0.400014630994853,0.4132896607428398,0.4256472830399656,0.4355893892723659,0.4441386684583555,0.4538276706036261,0.4638166859587889,0.4738202141974628,0.4857556428149077,0.4942006627445304,0.5022875345124089,0.5127774320390738,0.5200188208677089,0.5255989762983649,0.5340140780175225,0.5414962519530253,0.5478200566939597,0.5532023648904314,0.5580391991086479,0.5632863948480682,0.5692857975462811,0.5774391278299547,0.5880693680186255,0.5959633934751073,0.6040686629774228,0.6175257838288335,0.6274625673990407,0.6312728459536147,0.6317511696091953,0.6357447765649377,0.6448769802751205,0.652455165226569,0.6604469825637207,0.6706965115627096,0.677001683927103,0.6818143468154421,0.6924655151124105,0.7030428704004319,0.713411089525142,0.7276730126947946,0.7400289715380883,0.7480810251165445,0.7546896419878241,0.7629738578432195,0.7743797319373861,0.7839363478449004,0.7882305612799946,0.7946800044730298,0.8063380172426481,0.8194347895040122,0.8309342631934207,0.8417686036120291,0.8479837944695309,0.8545443500833987,0.8674295586120342,0.8827685331241188,0.8971073992509981,0.9094850361269288,0.9222764514250028,0.930029965358168,0.9387190912187424,0.9518013509441772
meanAnt,ssp245,CESM2-WACCM,J50,0.0,0.0119838918316283,0.0289666006132322,0.0431218558091804,0.0558067003586584,0.0667088685800504,0.0809549493306386,0.0926117922090766,0.101615445657073,0.1173939308357889,0.1295976477918711,0.1391550993883408,0.1468633812958256,0.1513347698530127,0.1552999686389671,0.163563632818035,0.1723180982133424,0.1767787169250301,0.1800735640271354,0.1846058315333974,0.1898230534413707,0.1976024574249636,0.2072329615475642,0.2120823879215215,0.2104179010544898,0.2099877622392653,0.2130291781021099,0.218089422453398,0.2263650494360195,0.2336949948587738,0.2383305833361402,0.2427290813972948,0.2482960761398563,0.2565118064673191,0.2638317167923179,0.2688074797176775,0.2724322270787233,0.277163641000143,0.282243275621634,0.2874087225130165,0.2943059848551768,0.2976777127822373,0.3008223377517659,0.3063201801555435,0.30863775885596,0.3092405347825636,0.312663784955666,0.3151156322292089,0.3164953366782114,0.3169632752613495,0.317126710368835,0.3175695358864705,0.3187596331891458,0.3219486152131665,0.3276161147363483,0.3302807177952432,0.3331523332094073,0.3414468026313879,0.3461221117212918,0.3449766988845525,0.3403869711756851,0.3393548761348155,0.3434749258221113,0.3460863834434631,0.3491947864749989,0.354393158442248,0.3554743524053426,0.3550445141470197,0.3604479314806832,0.3657988754252313,0.3712811295200885,0.3806475762508953,0.388012745732396,0.3909179784683307,0.3923161310597568,0.3953669077480922,0.4017225383120095,0.4061419070478446,0.4054763483943068,0.4071272820009826,0.4139322219831361,0.4220929800194513,0.4292870174928316,0.435554846547061,0.4369862587318157,0.438768221833377,0.4469009108555384,0.4574520148541307,0.4670177260217114,0.4747726582368757,0.4832644191426543,0.4869882528189451,0.4917221696141486,0.5008786805345223
meanAnt,ssp245,CESM2-WACCM,WT,0.0,0.0277684496494447,0.055066150009898,0.0782951615413025,0.1005438312247016,0.1218553376996757,0.1473611063728683,0.1706590439879973,0.1911110199947455,0.2179652858942644,0.2408223326882509,0.2611471085283041,0.2797548362512899,0.2951339421383478,0.3095371733822141,0.3278188908432716,0.3461673131914716,0.3602311387665287,0.3736701195240367,0.3878141695480052,0.402589835760399,0.4195109319035252,0.4380706972526059,0.4518757296281709,0.4593312904147873,0.4680404996304604,0.4799973365420487,0.4940157759427476,0.5110401172257458,0.5269511671012078,0.5399881249866791,0.5528839999061248,0.5669953095571952,0.5834241084556488,0.5988922267464258,0.6122630343950997,0.6245346847854809,0.6379404700964147,0.6516947388362565,0.665611525132838,0.6813702876712174,0.6934999764414641,0.7050042382546273,0.7188534052133986,0.7294221118158705,0.738384146492584,0.7501510452989218,0.7610607765720235,0.7707899823144077,0.7797464262295858,0.7881628874195322,0.7965906746068899,0.8057364891349869,0.8167548659781964,0.8300359363506904,0.840572660054066,0.8513611513303878,0.8674969033861163,0.8801563257400841,0.8868247800585378,0.8898116070779906,0.8961149512337739,0.907579687251046,0.91767056863826,0.9283736081303198,0.9414077720707053,0.9504070732454888,0.9578041950923204,0.9711566090228207,0.9844976237089156,0.997809763366128,1.014940920087823,1.0301992190045708,1.0412543267995844,1.050630105888809,1.0616612429928556,1.0759259063335236,1.088116103314384,1.0947336274554984,1.1036434087369091,1.1179701423705926,1.1337923089012314,1.1480119646328353,1.16124113342387,1.1695381984473,1.17796455972142,1.193077567907859,1.2106987764937898,1.2272712921235405,1.2420173505701138,1.2571878959778249,1.2673266599681896,1.2783092960631623,1.293862946197141
meanAnt,ssp245,UKESM1-0-LL,J300,0.0,0.0169473424236613,0.034708997898439,0.0514164968817666,0.0674317559897528,0.0845485657261456,0.1033023164694477,0.121292815768277,0.136767555305937,0.1528320325893676,0.1689305326974919,0.1832188331031804,0.19988781083887,0.2177382521398373,0.2338361928287418,0.2494987636545189,0.2656960910812951,0.2793650397841141,0.2890901693100831,0.2987049955392787,0.3120407633780784,0.3283175719028139,0.3435341047969587,0.3559351521858849,0.3663754385749703,0.3795621115622327,0.3921893004808138,0.4031037948727611,0.4149840214204597,0.4267059880316464,0.4407818303179848,0.4561363188311376,0.4712436311165169,0.4834676415953871,0.4942579246581589,0.5053986042043591,0.5190227248228276,0.5335510096627005,0.544768967523068,0.5563700264289235,0.5675193767825399,0.5783282852523239,0.5887224019805118,0.6008542033350778,0.616155209353641,0.6299543599141416,0.6433577295416915,0.6555902929907592,0.6689988620607928,0.6834532939425788,0.6965945588669515,0.7110634331830107,0.7243210995579811,0.7346513998349508,0.7471244997811434,0.7606933817717982,0.7740400122146985,0.7897366678482285,0.806993158359685,0.8244624392622446,0.841655145365504,0.8536362953833346,0.8663374735655411,0.8836572181127119,0.8977376960203,0.9112899961228048,0.9277774797136248,0.9447278592839276,0.9618256977423036,0.9780107546289716,0.9961447134564934,1.0126250753473418,1.0269903687343165,1.0439046777442065,1.0604242776599495,1.0787184112912198,1.0967820102771215,1.1138446322018651,1.131019165710742,1.1473697195749135,1.164904929179172,1.1805769060480094,1.1952575470059517,1.2133669351448284,1.2319842150598204,1.2493342439849235,1.2651711220331108,1.28112937863706,1.3008381403485605,1.3196760156874503,1.3366394831801247,1.3564668707320355,1.3734143892344792,1.3909856966882794
meanAnt,ssp245,UKESM1-0-LL,J50,0.0,0.0124416303002583,0.0268861568126691,0.0400419850171365,0.0523277223221084,0.0655225462791724,0.0802605925424992,0.0942152017220547,0.1054181595796693,0.117206882232825,0.1288302998010743,0.1386212615963443,0.1506759023819858,0.163623721047477,0.1748807603526046,0.1859815013543658,0.197255855704758,0.2058430427684918,0.2102818797345596,0.2146548776626917,0.2229018169832911,0.2341023836080825,0.2442219602249505,0.2514807694888291,0.256819407696801,0.2651897555099408,0.2729512279449601,0.2790988661011062,0.2863199898942176,0.2935887127803424,0.3034684595015361,0.3145028227453127,0.3252163383478538,0.3330301388312288,0.3394194830419106,0.346024764486206,0.3551437403742642,0.3652370293020597,0.3720197066133139,0.3791029054588645,0.3855353227408865,0.3918241772139638,0.3978160422720824,0.4056025480303582,0.4163328505481055,0.4256204745834936,0.4345288842205577,0.4423351693921884,0.4514026106550299,0.4612444823235582,0.4700033575644571,0.4803708207712338,0.4895920073286589,0.4959755906675354,0.5043615852365045,0.5139140109786197,0.5229661135826537,0.5340753407314348,0.5466898161324923,0.5596988305685618,0.5726909849587681,0.5805826478136785,0.5892369371551873,0.6028527046465868,0.6132535009124083,0.6231920683937668,0.6362541935862892,0.6493574547932793,0.6625594555698457,0.6747452522117985,0.6890388253366656,0.7020781945312878,0.7139520842722189,0.7286947343208899,0.7433237830284235,0.7601208824571601,0.7760839244908492,0.791435503752588,0.8065154694012354,0.8209138072301617,0.8363272885613466,0.8501400168046127,0.8625740651863487,0.8783831982411734,0.8949082327948958,0.9105561756051224,0.925149806713348,0.939907091962048,0.9585440635740524,0.9762610120439034,0.9911593238831156,1.0085035571804055,1.0235865269083475,1.0393643795709693
meanAnt,ssp245,UKESM1-0-LL,WT,0.0,0.0282860257153533,0.0528264539825913,0.075152659067263,0.09595106763507,0.1180120712216031,0.1415822816996441,0.1641530466984382,0.1840837596466967,0.2045835939501029,0.2249390737078925,0.2435539195883865,0.2646442163625416,0.2868913963939468,0.3073706920583162,0.327522075366678,0.3481450628485915,0.3659842618198868,0.3797647783335847,0.3935818694916047,0.411174852524993,0.4313968016097261,0.4505225879276416,0.4666030717798149,0.4804710537989551,0.4971176793891044,0.5132393024240545,0.5277894961453361,0.5430183329408763,0.5582522664304372,0.5758513208092284,0.594255446740168,0.612482432423421,0.627929801069231,0.6416335894556731,0.6556616910306038,0.6722537581895875,0.6898046424409935,0.7040489162057465,0.718603156213289,0.7326423447518229,0.746618869632845,0.7603231644345342,0.7760434188829433,0.7949749116824216,0.81272617853985,0.8301091808387361,0.8462699999471645,0.8633740413377484,0.8811681229795245,0.8973628716460338,0.9150298467294522,0.9315921858729572,0.945048664020546,0.9606213187561266,0.977324040848592,0.993761115270922,1.0123000363824204,1.0327399353292053,1.0537021373754532,1.0744180245683022,1.0903117935285294,1.1071121149041008,1.1290095876447697,1.1480969583677725,1.1662816461469083,1.186872016884929,1.2070912034718195,1.2270670863561977,1.2457835994594153,1.266218602382076,1.2849504926346655,1.3016956856143815,1.3206252108512129,1.339079143433954,1.359221952205482,1.3788494473950763,1.3979258595802038,1.4169926001112958,1.4353429240869058,1.4547670848584104,1.4723608029913555,1.4885627256857628,1.5082638400425263,1.5284445224481409,1.547329057502383,1.5649153741249064,1.5824791408087169,1.6039405656214076,1.624754079837252,1.6434270915552491,1.6651969980241574,1.6841421132886805,1.7032496431683817
PIG5,ssp245,CESM2-WACCM,J300,0.0,0.016448616330223,0.0369317452223025,0.0544325393129897,0.0714763642345678,0.0869352541585478,0.1071563966798904,0.1238401387425678,0.1358532805185556,0.1541508310870595,0.1696989320564726,0.1836037774667316,0.1962521399288393,0.2058908427270492,0.2159068505440194,0.2299186143542049,0.2465492921274552,0.2583286890050678,0.2683685563174938,0.2795915320555648,0.2916278588477503,0.305981749936608,0.3216013301087645,0.332412885032915,0.3367429291552177,0.3421060097599346,0.3510922549628039,0.3622379294870377,0.3763981707339069,0.3898161557236705,0.4002328369912276,0.4104888409063592,0.4218514923091285,0.4358181742138037,0.4492214398081039,0.4602027223569908,0.4698183993266094,0.4802352779073159,0.490692294819594,0.5009936452805867,0.5131245576949516,0.5219632623363859,0.5307112540766638,0.5417853241897772,0.5501704808114802,0.5568980314119307,0.5665597818826633,0.5753115294714756,0.582637656529977,0.5889474738877843,0.5946665420877486,0.6007614611371798,0.6075202868697992,0.6164086444101018,0.628244087721662,0.6381315107771596,0.6479023321928356,0.6636969695639144,0.6763101721578021,0.6835969746834498,0.6884320082073822,0.6964454265604991,0.709100059389192,0.7203024869733337,0.7321287609180295,0.7458750312057969,0.7555901997575394,0.7639607057335195,0.7782662488163126,0.7925463001619684,0.8068543846331362,0.8249885602854171,0.8413123204583733,0.8535951838084523,0.864551549484085,0.8774450527234745,0.8936859278335201,0.9082907252592028,0.9173043862153152,0.9294707096360976,0.947396150702973,0.9669989654968726,0.9848420229711528,1.00156413841734,1.0143774572904831,1.0277703716205062,1.0477390151300048,1.0702088201281812,1.0916490349354684,1.1119386351720248,1.1332201691342187,1.1488106827693958,1.1659450459861678,1.1890466691768604
PIG5,ssp245,CESM2-WACCM,J50,0.0,0.0119838918316283,0.0290418160137837,0.0431726939998765,0.0561603072020392,0.0672286570745786,0.0831526871066767,0.095316083428744,0.1027287543635595,0.1164861659554511,0.1275029193611655,0.1366496834748536,0.1446205194084383,0.1495073098566289,0.1547019067935124,0.1638408437872415,0.1761874822354094,0.1832633133340961,0.1886360011419725,0.1949653667670192,0.2025020390460034,0.212266545123743,0.2231616175883938,0.2293002910414627,0.2286489554544414,0.2291704704311574,0.2333882098742661,0.2395297921711944,0.2486327224978176,0.2570221330059498,0.2630093412316592,0.268764506880024,0.2754579221022438,0.2849513318406489,0.293827069652681,0.3002710699174372,0.3049370380831169,0.3105519780966753,0.3162390271906945,0.3219504788999222,0.3293184035639188,0.3332390873056972,0.3370784022659625,0.3433247645960019,0.3468626316141541,0.3487180319485208,0.3536396996507235,0.3574303111362103,0.3596881974696903,0.3609518174942817,0.3617699392864394,0.3627957637517214,0.3645164388004976,0.3682850785617676,0.3752403729732719,0.3798856357352391,0.3843736856552808,0.3947081452246883,0.4019432769540524,0.4042601443670183,0.40397121903522,0.4068441213358158,0.4147042089526898,0.4214778898228101,0.4290522784929891,0.4386340646291825,0.4443519278089879,0.4486142907984061,0.458863525447401,0.4693494054814512,0.4796596656100114,0.4937659508412039,0.50612451422658,0.5143916375426208,0.5215224660301506,0.5305653044740675,0.5432735208435957,0.5546143248322231,0.5603698506360989,0.5698296168381578,0.5848182357146996,0.6007873494750346,0.6152482743860654,0.6288907326311477,0.6382930602490388,0.6484594395320199,0.6654386491457512,0.6846925636406017,0.7041406247480795,0.7225226795960997,0.7420129596955569,0.7563582920417298,0.7724606388499183,0.7944874420327817
PIG5,ssp245,CESM2-WACCM,WT,0.0,0.0277684496494447,0.0551739480791883,0.078499779420469,0.101199352581024,0.1232271657812563,0.1503863987750385,0.1739563509516264,0.1928623579958349,0.217864320933178,0.2401967751657529,0.2610216800396899,0.2802468682309648,0.2965503883925411,0.3123364822611799,0.3318033938509874,0.3524635828748503,0.3683424543435241,0.3828606716917171,0.3976913847108987,0.4135261649589314,0.4312765320415104,0.4499312324754457,0.4636000959399304,0.4710103086999738,0.4795184636761928,0.4914221767414478,0.5055929159219752,0.522853551974004,0.5393917148572098,0.5531475732283654,0.5667644350716348,0.5814070412958443,0.5984867844337266,0.6150998588536102,0.6293255963366707,0.6422077847022953,0.6559638097950102,0.6699509374072846,0.6840555336744949,0.6999532742653517,0.7125545080082075,0.7246828078691604,0.7391799227939934,0.7504682607327735,0.7602517610584061,0.7727482593743037,0.7843407317818608,0.7945142099219084,0.803918636594982,0.8129723622374854,0.8222876629713679,0.8322839755455934,0.8439975018180099,0.8586104267334922,0.8707199688175367,0.8826310012433916,0.900486706593035,0.9151359953997276,0.924662690950996,0.9314119307894636,0.9417345526762816,0.9570905910631516,0.971467523785372,0.9866652982056834,1.003796813299179,1.0166831593539865,1.027933370625305,1.0449341566608847,1.0620600151286097,1.0791407620355318,1.100384454329673,1.1198082138340686,1.1350854065223566,1.148857738287233,1.164414290995865,1.183278821867611,1.200675625052473,1.2127000842773068,1.2276103421808895,1.2481006102384558,1.27015966043427,1.29094235113315,1.3110226893766797,1.3278772640974008,1.3461669330230768,1.371018090070346,1.3982529187602089,1.4242348221760617,1.4487650319223326,1.4743717463431123,1.49467820235349,1.5170650831563512,1.5458058684510938
PIG5,ssp245,UKESM1-0-LL,J300,0.0,0.0169473424236613,0.0347181987189922,0.051776380483137,0.0679792560820963,0.0850308256394518,0.1037765704058689,0.1217953309853098,0.1375539726104004,0.1542296543015713,0.1711568717112499,0.1864898335259274,0.203984256447443,0.2229982101721739,0.2403938118088549,0.2573120181263519,0.2741825887854067,0.288739627012436,0.3000279195860396,0.3111443705548659,0.325969023066259,0.3440603412339601,0.3608353124045641,0.3749792665067518,0.3876527542049139,0.4036789527602185,0.4202792823236722,0.4355307475986785,0.4510164475972192,0.4663987790735607,0.4841452786694195,0.5033082522839749,0.5226729256789128,0.5390092954661486,0.5536180860491318,0.5682181387573862,0.5852644309306138,0.6036981816792276,0.6190203477491466,0.6351850086936194,0.6508709375573541,0.6657792829946629,0.6806317195827016,0.6979169776252642,0.7200594205625579,0.7424023446041016,0.7647851540302162,0.7860231442483191,0.8082357022283762,0.831781909931964,0.8539594335242172,0.878106907836511,0.9015934767789971,0.9222688654600276,0.9448369711330564,0.9685081054852124,0.9926588526327332,1.0187012218555491,1.048890663114313,1.0793607258075963,1.108812124742206,1.1347996055719178,1.1618404266969558,1.1941761179401913,1.222401664710458,1.2499404047430456,1.2794739222809477,1.3088297081129752,1.3369352975669329,1.3634943994115796,1.3907656052214958,1.4164424166231582,1.44033879101605,1.4670764990836114,1.493837637398837,1.5227787695383534,1.5516084686419085,1.5796637474878903,1.6073607689689424,1.6337273793422675,1.6613765666828026,1.6872758478234842,1.712564684847132,1.741099145365389,1.7704015884166042,1.798622276452727,1.8249121154954493,1.8511446069273791,1.8810355211098293,1.909615764851734,1.9355044325687691,1.9640991991556829,1.990607262899852,2.017844354593716
