gamma,scenario,gcm,slidinglaw,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
meanAnt,ssp245,CESM2-WACCM,J300,0.0,-0.0043677070133878,-0.0068373823158994,-0.0106054011281958,-0.0133147451753411,-0.0150351934127524,-0.0170928838396181,-0.0195595716400145,-0.0218734128286216,-0.0239269203315935,-0.0245365544437228,-0.0243784737701368,-0.02650146882457,-0.0296360862961695,-0.0316146575108943,-0.0332320622843785,-0.0356950578037838,-0.0383042640992181,-0.0417014465596714,-0.0437138905761702,-0.0448592406523966,-0.0479040376215901,-0.0510788297036919,-0.0536680182138888,-0.0554609216298324,-0.0577378218584465,-0.0613912863550021,-0.06518712384205,-0.0678138633695917,-0.0710465671263013,-0.075001918537581,-0.0777930356726412,-0.0807706119656806,-0.0838120644118417,-0.0890668303277426,-0.0952473496327817,-0.0999847149701883,-0.1037392770179007,-0.107564901276014,-0.1110748604777746,-0.1126437501510322,-0.1157527468778553,-0.1189957025104689,-0.1216798818464348,-0.1250175171416357,-0.1277502458325976,-0.1309471847877921,-0.1334403513871028,-0.1373527008337768,-0.1406355074170954,-0.1431560434866645,-0.1463067837781604,-0.1479949719261382,-0.1509807508914054,-0.1549792430246176,-0.1594032448947464,-0.1625881596922521,-0.1651649503135929,-0.1683590319265837,-0.172176417526857,-0.1754600095262714,-0.176209694596022,-0.1778231807041068,-0.1800724802804167,-0.1827955229107877,-0.1861404879807288,-0.1906067267091475,-0.1962955392424146,-0.2014253466515294,-0.2051007911841237,-0.209681625996626,-0.2160268733342704,-0.22120155070039,-0.2241806174548022,-0.225664393125471,-0.2274258924890192,-0.2334810656828919,-0.2395330542524092,-0.2414945849941521,-0.2437211732339347,-0.2468020842691045,-0.2513747709418427,-0.2563485174208428,-0.2612033360060317,-0.267284510150805,-0.2722949661497591,-0.2739128966641518,-0.2756750456542287,-0.2814279763251252,-0.2873537972977978,-0.2935764466563541,-0.2993663575171383,-0.3045750040964328,-0.3088583824974639
meanAnt,ssp245,CESM2-WACCM,J50,0.0,-0.0055418149958953,-0.0088718982020299,-0.013653807976749,-0.0176278971186789,-0.0206059348600431,-0.023879963759545,-0.0275413964067689,-0.0310735217226746,-0.0343797973102398,-0.0362389268759865,-0.0373541309253832,-0.0407366671136912,-0.0451531515931591,-0.048419533330969,-0.0513481679043132,-0.0551265487852309,-0.0590929747239562,-0.063824094068827,-0.067121309515455,-0.069598488364665,-0.0739689745230897,-0.0784515981145446,-0.0823593446607255,-0.0854367916089048,-0.0890408716172854,-0.0938858756886705,-0.0988840439432717,-0.1026895146153624,-0.1071519475043251,-0.1122921523936709,-0.1162613008881216,-0.1204119553579989,-0.1246301994860937,-0.1310875265967179,-0.1384289151378452,-0.1443350551664242,-0.1492816105264106,-0.1543405185323587,-0.1590747643621934,-0.1618704566519218,-0.1662303296217305,-0.1706700517954558,-0.1745789529942865,-0.1791027973455406,-0.1829933579849594,-0.1872830852022039,-0.1908625432203247,-0.1959126296365853,-0.200272243961454,-0.203922030296641,-0.2081393553858271,-0.2109212609704062,-0.2150002752460915,-0.2201005894866105,-0.2256748116174592,-0.2299842816299651,-0.2337056795886639,-0.2379920476529423,-0.2429303305005611,-0.2472961045806968,-0.2491425655178047,-0.2518618699268853,-0.2552146530054841,-0.2589959108757961,-0.2633702094258024,-0.2688802503160022,-0.2755576301041986,-0.2817932199913102,-0.2865911911831241,-0.2922943960839543,-0.2997877686659361,-0.3060392925209849,-0.3099898213026807,-0.3124809783561034,-0.3151313178053154,-0.3221111691744137,-0.3289472030675443,-0.3317901139927703,-0.3349600025742157,-0.3390019397476262,-0.3445424699624979,-0.350467689758112,-0.3562618247571916,-0.3632759237651841,-0.3692243090328651,-0.3717863128425351,-0.3745280359382047,-0.3813118557426836,-0.3883454042333599,-0.3956895076550654,-0.4025218954695432,-0.4088062137466554,-0.4141112310124176
meanAnt,ssp245,CESM2-WACCM,WT,0.0,-0.0004892657525229,-0.0004835189616498,-0.0021555639332774,-0.0032742437751606,-0.0032831834297362,-0.0036366934148114,-0.004286805587118,-0.004956453253351,-0.0053528770085203,-0.004297935667434,-0.0024776344997405,-0.0028413354970773,-0.004199637378882,-0.0046616481519466,-0.0047795259858761,-0.0057815565836354,-0.0070456093880711,-0.0091225338073046,-0.0097965312693722,-0.0096421671996369,-0.0114130937025675,-0.0133430102425663,-0.0146849786757757,-0.0152304282785122,-0.0162716083773726,-0.0187134559287917,-0.0212888396324325,-0.0227151857937288,-0.0247682369460121,-0.0275935552432829,-0.0292351916853422,-0.0310663450744124,-0.0329581525668908,-0.0370558115506039,-0.0421135130998625,-0.0457721924350717,-0.0484779899523146,-0.0512932682387014,-0.0537869377209975,-0.0543732077961032,-0.0566093292344754,-0.0589935652365283,-0.0607977017151628,-0.0632618086528842,-0.0651373538920602,-0.0674687374138907,-0.0690815180440819,-0.0720689659102975,-0.0744341583019824,-0.0760170880473757,-0.0782350130317429,-0.0790188527269789,-0.081180313256702,-0.0843769674027294,-0.0879839734913836,-0.0903406240689616,-0.0921073760564431,-0.0944982429960364,-0.0975340806989988,-0.100036193054237,-0.1005577613395345,-0.1021330932095831,-0.1043313510009486,-0.1069396570480061,-0.1101042097204931,-0.114347013124409,-0.1197496991797491,-0.124616493039311,-0.1281952537627322,-0.1326244947873439,-0.1388371443927867,-0.1438520098678387,-0.1466276451044094,-0.1478874895730842,-0.1492945416088018,-0.1549844903249221,-0.1606807906209939,-0.1623529430129693,-0.1643427497919239,-0.1672076243707053,-0.1715612758067356,-0.1763009669936909,-0.1808856939686107,-0.1866705362125022,-0.1913797682208686,-0.1926739270934952,-0.1940496306102627,-0.1994905770947372,-0.2052030453996803,-0.2112391542982581,-0.2168426817046088,-0.2218083993879014,-0.2258757761346765
meanAnt,ssp245,UKESM1-0-LL,J300,0.0,-0.0028261976624659,-0.0043930386113098,-0.0065925025410204,-0.0090495882657777,-0.0119765578007401,-0.0148346272666622,-0.0176822371216836,-0.0211766564615012,-0.0251183448786929,-0.0279827087539479,-0.030919273183002,-0.03464145699222,-0.037532211385034,-0.0408824258058818,-0.0454041658485893,-0.0493970768783236,-0.0525080856737955,-0.0553355423607769,-0.0583064750941681,-0.0613975691044485,-0.0639164687693737,-0.0675151615684362,-0.0717305323632048,-0.0750635263311663,-0.0787769407572433,-0.082993010681906,-0.0870388925623945,-0.0912010300509791,-0.095764116954043,-0.1001011082649989,-0.1035303083139774,-0.1059963499275224,-0.1088196265644266,-0.1125217074382778,-0.1170522194437919,-0.1211600794310079,-0.1249418869226142,-0.1293502610100607,-0.1336324903689014,-0.1373976914688834,-0.1409655003937704,-0.1452811409478369,-0.1498913210548323,-0.1538497547780913,-0.1576542221977231,-0.1618689001153694,-0.1658336739598382,-0.1698139820326714,-0.1745929890880137,-0.1787339250884225,-0.1825478171268817,-0.1873805018156867,-0.1914956082704228,-0.1955608289001065,-0.198939593063316,-0.203589384510619,-0.2092042652350509,-0.2138038644297082,-0.2190282331127054,-0.2242251436894466,-0.2287404129381299,-0.2336117018076768,-0.2386554052561769,-0.2437935281151636,-0.2482836924462576,-0.2524265322333571,-0.2571436554781582,-0.2626334402230928,-0.2674821951552172,-0.2715548023146904,-0.2751913798117193,-0.2804107152318249,-0.2860607152894531,-0.2909316990039309,-0.296161148230643,-0.300945802158699,-0.3066680977103382,-0.3117626709172078,-0.3157726958221757,-0.3206922338795579,-0.3270150092115154,-0.3335098232385501,-0.3387645350076802,-0.3441973827345381,-0.3496292471732417,-0.355463314255439,-0.3600828468004958,-0.3652136897512792,-0.3716999053968075,-0.3766440756684521,-0.3808637793042537,-0.3850247249010168,-0.3894669413092115
meanAnt,ssp245,UKESM1-0-LL,J50,0.0,-0.0040112766028772,-0.0063427278130239,-0.0092196460774647,-0.0125807000104022,-0.0165405107665983,-0.020390749794959,-0.0242076995498918,-0.0286350654177737,-0.033517273423251,-0.0375789551548302,-0.041826611347661,-0.0467571125063339,-0.0509549189358848,-0.0555972850305149,-0.0614609368062067,-0.0666268831123504,-0.0710032370527525,-0.0751425498170081,-0.0793684751880867,-0.0837675058960422,-0.087410107487857,-0.0922829323488524,-0.0977107320815557,-0.1023926075763263,-0.1075018055778012,-0.1130591848621763,-0.1183235545696115,-0.1236677636624611,-0.1293712439397346,-0.1351096425212647,-0.1398677444755963,-0.1436843141302154,-0.1477858094438644,-0.1526493540164127,-0.1583017529182421,-0.1637506242075697,-0.1687402549541173,-0.1744968161708978,-0.1801852680571179,-0.1855186368172624,-0.1904913050284063,-0.1962262102719597,-0.2020708943741447,-0.2073673309972974,-0.2123617876634442,-0.2178250034174092,-0.2229161470419039,-0.2279333813504787,-0.2338093851110239,-0.2391443645852304,-0.2442024439922749,-0.2502428339461081,-0.2558066446389633,-0.2610397028379213,-0.2656290202157551,-0.2715827209007996,-0.2784074948256422,-0.2841864088531218,-0.2906876458672996,-0.2971663481125918,-0.3029395392133605,-0.3090547206671933,-0.3153278410644843,-0.3216703620724299,-0.3273663848927731,-0.3327019132899392,-0.338534267298346,-0.3451341262046269,-0.351167610740095,-0.3564452699471209,-0.3612371875421318,-0.3676368034569671,-0.3744856234530222,-0.3805523610573504,-0.3869068332131347,-0.3928384997795344,-0.3997198706880984,-0.4058849764556499,-0.4110707818979918,-0.4171337098604084,-0.4245677852068741,-0.4321697007356655,-0.4385801147318297,-0.4451434233873858,-0.4517230646940336,-0.4586716309903028,-0.4643317154783146,-0.4705535867332754,-0.4781325019884124,-0.4841053697472184,-0.4893972971424952,-0.4946259136550369,-0.5000900988617962
meanAnt,ssp245,UKESM1-0-LL,WT,0.0,0.0010533392652655,0.0018396879876613,0.0017026633489373,0.0007892025599809,-0.0007613327197371,-0.0022269865590542,-0.0036944606457995,-0.0057528408081004,-0.0077698525279366,-0.0087528142443011,-0.0097418476463859,-0.0118718011567656,-0.013234587141053,-0.0150498601005745,-0.0180274326419811,-0.0204444119867574,-0.0220639746587741,-0.023557665568454,-0.0250953657583163,-0.0268232125069004,-0.0280063268424119,-0.0302724597631323,-0.0330961491392478,-0.035032691103035,-0.037238795458496,-0.0399609907348263,-0.0427335316540123,-0.0454379536258572,-0.0488167403255139,-0.052065600847032,-0.0544140106526594,-0.0559197868149703,-0.0575690355755147,-0.0601113113890053,-0.0632863911351156,-0.0660844263073979,-0.0686619681134144,-0.0719603396943573,-0.0752007975016678,-0.0778953396191094,-0.0802108489391921,-0.083266447978206,-0.0866289857771185,-0.0893025796831584,-0.0917196998543455,-0.0945977252725016,-0.097110617575989,-0.0995919162929577,-0.1029821985990453,-0.1055438401027674,-0.1078467472219356,-0.1112611751086109,-0.1141638694721309,-0.1170603521468806,-0.1193374459491736,-0.1228585359954846,-0.1273145533408962,-0.1307180015622706,-0.1349823275601988,-0.1392293854287385,-0.1428023927607488,-0.1466517055405926,-0.1507790683173986,-0.1549662801157633,-0.1585525140933278,-0.1617050456251785,-0.1653527128218067,-0.1697528004096752,-0.173668049157729,-0.176712985030037,-0.1793390308429217,-0.1835314866025231,-0.1881794441669566,-0.1920347839733992,-0.196349574073462,-0.2002795444473815,-0.2051365600335154,-0.2092907403151838,-0.2124181021639532,-0.2163247018654586,-0.221739909467205,-0.2273840572669371,-0.2316827664830511,-0.2362748884786576,-0.2410061401434848,-0.2460585607607069,-0.2497933062890513,-0.2541963049782915,-0.2599456828038673,-0.264197495535298,-0.2677342787464146,-0.2711972882805931,-0.2748455169886964
PIG5,ssp245,CESM2-WACCM,J300,0.0,-0.0043677070133878,-0.0069111105879877,-0.0107475272407409,-0.0134318890874637,-0.0151709350636883,-0.0173126703337088,-0.0198539808352078,-0.022045186700055,-0.0240665238960409,-0.0246370282852274,-0.0244934075749443,-0.0266619702885756,-0.0299342205248655,-0.0319036846086738,-0.0334970728759846,-0.0360412606821352,-0.0387202194422063,-0.0420707758695792,-0.043975902291537,-0.0451141303953577,-0.0481229029953064,-0.0512395118710077,-0.0537894128174866,-0.055469201906466,-0.0576125184098009,-0.0611202197952646,-0.0647463168529733,-0.0671282793516699,-0.0701368899709239,-0.0737613694249297,-0.0762331026205603,-0.0788735989857207,-0.0815100562903701,-0.0864598236704599,-0.0923633391985465,-0.0967676046492526,-0.1001964836691433,-0.1036886489263455,-0.1068298818462923,-0.1079501400893205,-0.1106109577603866,-0.1134422933464756,-0.1157247900028101,-0.118554460863128,-0.1206866770032407,-0.1232600798827827,-0.1251842937236177,-0.1283959333245742,-0.1308450058837834,-0.1324465950826991,-0.1345990742010704,-0.1353204604722746,-0.1373716754866643,-0.1404101529916993,-0.1438006042863286,-0.1460267921674873,-0.1475066023742746,-0.1495619381358239,-0.1522444766738672,-0.1543593252845075,-0.1538385632682323,-0.1541688334980689,-0.1551775991885471,-0.15660729012612,-0.1585887561944193,-0.1621214003535973,-0.1668240771385057,-0.1708251934222034,-0.1733939575054679,-0.1767979570412525,-0.1819656998351279,-0.1858301486436101,-0.1875483221923286,-0.1877005160962252,-0.187997408611277,-0.1926321150270702,-0.1972048920485949,-0.1976092013835302,-0.198828828412158,-0.2008509542152359,-0.2043504487134499,-0.2080356030652188,-0.2113519252696309,-0.2158868651832816,-0.2195545268968508,-0.2197163002840613,-0.2199086877208067,-0.2245063635528804,-0.2293095253594531,-0.234567796964526,-0.2396980530166481,-0.2443842589259303,-0.2480846625257468
PIG5,ssp245,CESM2-WACCM,J50,0.0,-0.0055418149958953,-0.008910865442941,-0.0137727309284376,-0.017755153845757,-0.0207273757764227,-0.0240619976139973,-0.027786629289877,-0.0311856808849671,-0.0344371005857036,-0.0362156267438483,-0.0372880322368901,-0.0407248113839361,-0.045299958658356,-0.0485372296002669,-0.051470068003619,-0.0553139911333875,-0.0592791590682399,-0.0639495398734821,-0.0671515144394148,-0.0696423145411139,-0.0739029796567341,-0.0782459341501791,-0.082059437642486,-0.0849713425612311,-0.0883621640141243,-0.0930689058060842,-0.0979293497561515,-0.1015271575173727,-0.1057556142549047,-0.1105173301250632,-0.1141648203481921,-0.118000727350263,-0.1219150393287251,-0.1281333256096802,-0.1352665642073567,-0.1408897883284396,-0.1455382668094456,-0.1502620257302034,-0.1545314737493011,-0.156748150286135,-0.1605366295570899,-0.1644553166737433,-0.1677718288726379,-0.1715996222752918,-0.1748115433120147,-0.1784945139472922,-0.1814726306461084,-0.1857768695709329,-0.1892305088056716,-0.19185592191084,-0.1949824755463364,-0.196722300532717,-0.1996491778691825,-0.2035370340551805,-0.2077644621585639,-0.2108412062464241,-0.2133444834410164,-0.2164112625245575,-0.2202071898607608,-0.2234480655594876,-0.2240737451435612,-0.2255847973637673,-0.2277141149134078,-0.230275274459611,-0.2337625725383883,-0.2382942700790272,-0.2439674142800067,-0.2489246449304231,-0.2523198465517363,-0.256517071376648,-0.2624073732013545,-0.2673822827795944,-0.2698733918687188,-0.27093409558274,-0.2721127363012062,-0.2771578542895,-0.283038406793985,-0.2849819245114048,-0.2871640015513833,-0.2899644697297432,-0.2941381962671626,-0.298354339864293,-0.3022975756833598,-0.3077273121407818,-0.3121023485104698,-0.3127534678008292,-0.3133772356889243,-0.3184503792947927,-0.323703160143734,-0.3297188355710076,-0.3354588576585004,-0.3407880558443079,-0.3451424790602168
PIG5,ssp245,CESM2-WACCM,WT,0.0,-0.0004892657525229,-0.0004745067081869,-0.0021479897035743,-0.0031869351530345,-0.0031719429041739,-0.0035812080776244,-0.0042668251804588,-0.0048375483625501,-0.0052017316123988,-0.0041604105506619,-0.0023674497920235,-0.0027785252815357,-0.0041840012882086,-0.0046244437914325,-0.004767545018793,-0.005870990027394,-0.0070140637564434,-0.0088563056014199,-0.0091745839072136,-0.0091232998951693,-0.0108788367985287,-0.0127733715577871,-0.0141192419163188,-0.0145905212356593,-0.0155233346126283,-0.0178535884633116,-0.0203242959083312,-0.0215778997716128,-0.0234245010372071,-0.0259440366781756,-0.0273646801183248,-0.0289560808940721,-0.0306384404886266,-0.0347477209992443,-0.039764265113594,-0.0432621472460084,-0.0458223089342086,-0.0484524580467724,-0.0507049558813307,-0.0509062191556415,-0.0526620708370149,-0.0545952579685995,-0.0558773393457985,-0.0585605390699211,-0.0605183685173253,-0.0625027299021405,-0.0635900042522076,-0.0659360939820264,-0.0678702358432428,-0.0695974227588302,-0.071820649827814,-0.0725226001452415,-0.0743973199948832,-0.0772497995514354,-0.0805038182188692,-0.0826301587346973,-0.0841407570340103,-0.0862604041359296,-0.0889801713016849,-0.0911362224953135,-0.0905783001350168,-0.0909457033754145,-0.0919514290300263,-0.0933450064210576,-0.0953126609348899,-0.0983184963424751,-0.1025007060525872,-0.1062155414359144,-0.1086548375157178,-0.1119650868435579,-0.117084216412751,-0.1210315607850872,-0.122553320233126,-0.1225874701736246,-0.1229033997863164,-0.1276374030246749,-0.1324031967915243,-0.1331770693348785,-0.1341992244997491,-0.1359294737517319,-0.1389643673127118,-0.1420248442060993,-0.1448971936339869,-0.1491764381080265,-0.1522013611861582,-0.151772956240677,-0.151525938891291,-0.1553422437435495,-0.1599201557666104,-0.1652106315618949,-0.170043191256462,-0.1743958828454643,-0.1780073609065204
PIG5,ssp245,UKESM1-0-LL,J300,0.0,-0.0028261976624659,-0.0043592349569324,-0.0064577764997768,-0.0089438869386145,-0.0119535524349651,-0.014849730115761,-0.0178708525472778,-0.0214940181794218,-0.0256217073516613,-0.0283629417739567,-0.03123265078457,-0.0347557383083065,-0.0372431692751083,-0.0403427498534775,-0.0447010202607456,-0.0485087727102247,-0.0516110110845551,-0.0546447796332314,-0.0575651656189727,-0.0607185066355556,-0.0634030099662488,-0.0671802424589404,-0.0716076383004274,-0.0752096763309691,-0.0791777348587199,-0.0836300193512095,-0.0876909368231754,-0.0921415147750684,-0.0968562088011259,-0.101297577622063,-0.1049191711696906,-0.1078732689932941,-0.111032336480367,-0.1150794091755087,-0.1196052905744245,-0.1236461930871064,-0.1274857017905845,-0.1316018852626395,-0.135717034483666,-0.1396984654186374,-0.1435654292688478,-0.1481285076830674,-0.1529308737616685,-0.156826109122639,-0.1606835782032863,-0.1651190865261942,-0.1692026945192347,-0.1733376011476634,-0.178127565873347,-0.1822977596922996,-0.1859254677308317,-0.1907097585125136,-0.1951020085689715,-0.1990709530054869,-0.2024739171422021,-0.2071130509968103,-0.2127389209413709,-0.2173428984950719,-0.2224760243255082,-0.2275547575428447,-0.2319942061385252,-0.2368382972906023,-0.2418965528585452,-0.2470834720837444,-0.25155188874296,-0.2556894686246493,-0.2604158168121533,-0.2659005643337228,-0.2707994515929918,-0.2749467448825165,-0.2784713471802881,-0.283553786171039,-0.2891354116395986,-0.2939608282880953,-0.2991470564432443,-0.3038293456995509,-0.3094671848813726,-0.3144616952479074,-0.3182434661298947,-0.3230226988557244,-0.3292328524498611,-0.3356963553884348,-0.3408615554935586,-0.3461589446757546,-0.3515002485804713,-0.3572428038145422,-0.3617587622484495,-0.366813079606039,-0.3732661060546672,-0.3781192029042977,-0.382268410953796,-0.386325910915247,-0.390633197223405
